Restaurant,Month,Week No.,Day,Date,Review Title/URL,Review,Rating Score,Rating,Responded?,"Response 
Date","Days between 
response"
Spago,April,Week 14,Sunday,3/4/2016,"""friendly service in the fine dining room""","My husband and I made reservations 2 days before our lunch to ensure that we would get a table. Fast forward to the day of our lunch and we were greeted by not so friendly staff upon arrival. I'm not too sure if it was because of the heat or because we were 10 mins late. In any case, it took them a little more than 5 mins before we were shown to our table. I'd like to add that it seemed like they didn't have my reservation as the two ladies looked equally puzzled when my husband gave them his name. The service in the fine dining area was a world of difference. Friendly, observant, attentive staff who were not intrusive at all. Special thanks to Catalin who recommended us a menu which suited us perfectly and made our lunch so much more enjoyable with space to treat ourselves to a huge serving of soufflÇ.",4-May,Very Good,No,,
Spago,April,Week 14,Sunday,3/4/2016,"""Ok food but fantastic location!""","Spago near the pool at the Sands Bay Marina was unfortunately a very predictable restaurant. The restaurant could pretty much serve anything and people would show up because of the extraordinary location at the top of the hotel looking over the very famous infinity pool on one side and the Gardens by the Bay on the other side. The menu had tuna tartare, sliders, steak, mashed potatoes, sushi, sashimi. Everything was good only not very unique in my opinion (except for the mashed potatoes with some kind of cheese that were absolutely inedible). A lot of finger food given the loungy atmosphere of the restaurant. As would be expected for such a popular place, the restaurant is a bit of a scene. Go for the location, have a drink at the bar, stay for dinner if it suits you fancy but remember you are there for location, location, location and if you are looking for a great meal in a city with so much great food, I would opt for another location.",3-May,Average,No,,
CUT,April,Week 15,Monday,4/4/2016,"""Die die must try""","Kudos & a big 'terima kasih' to every staff, chef & kitchen team & owners for a nostalgic family dinner. The thoughts of the various steaks are still lingering in our minds after that wonderful evening. Service was superb as the waiting staff were caring, hospitable & efficient. Keep it up, guys! Ambience was cosy & comfy. Will surely return in near future but will obviously tag along buddies to ""come, see & conquer"" whatever's in your menu.",4-May,Very Good,No,,
CUT,April,Week 15,Monday,4/4/2016,"""Best Chocolate Souffle and perfectly grilled Filet Mignon""","We ordered Miyazaki Kyushu Filet Mignon, its very tender, no fat but juicy, perfectly grilled and seasoned, its perfect. We use no sauce at all, and we find it the best way to eat it. Not even with the different kind of mustard they served. Presentation seems so blank as its small meat on the big plate, but the taste really complement it. The sauteed dover sole is so so, nothing special, well, their specialty is MEAT and steak, so stick with it. We ordered broccoli and its so tasty, crunchy, perfectly seasoned. And the best beside the filet mignon will be the chocolate souffle... its not easy to made one, but this one is soft but crunchy on the skin, its just PERFECT.. The price is pricey though, since we are taking the highest filet mignon, but its worth to try.",5-May,Excellent,No,,
db Bistro & Oyster Bar,April,Week 15,Monday,4/4/2016,"""Stunning""","Kudos & a big thank you to staff, kitchen team & owners for a nostalgic dinner. The thoughts of Foie grass, Burgers, & Oysters are still lingering in our minds after that wonderful evening. Service was superb as the front staff were caring, hospitable & efficient. Keep it up, guys! Ambience was cosy & comfy. Will surely return in near future but will tag along friends to ""come, see & conquer"" everything in your menu.",4-May,Very Good,No,,
db Bistro & Oyster Bar,April,Week 15,Monday,4/4/2016,"""Very good lunch with nice and tasty food!""","Very nice food and choice, specially if you want to eat seafood... the brunch menu is extensive at 68$++, seating inside is nice with friendly staff very professional. Music is a bit loud to our taste.",5-May,Excellent,No,,
db Bistro & Oyster Bar,April,Week 15,Monday,4/4/2016,"""OK for dinner...but do consider other options""","Wife and I ate here last week just before watching a show at the MasterCard Theatre. The host did ask if we were catching a show so to ensure our food is served on time. That was very helpful. The servers were polite and their service was generally good. As for the food, the appetizer (jumbo shrimp cocktail) was exceptional, but the rest of the meal, including their seafood casserole and famous db Burger was just so so. Given the price, you may want to consider other restaurants nearby, as there are many to choose from.",3-May,Average,No,,
Sky on 57,April,Week 15,Monday,4/4/2016,"""High in sky with delicious food""","Love to have lunch at Sky on 57. Food were great and service are mostly good. Love the salad, creamy soup here.",5-May,Excellent,No,,
Spago,April,Week 15,Monday,4/4/2016,"""Die die dont try.""","Really Disappointing. Thought the TA reviews were bad so brought family to give a try & experience it ourselves. Regrets, terribly regretting. Service was pathetic as staff were oblivious, indifferent, rude, fault-finding & quarellsome. Our daughters nearly walked out halfway through. Food was just so-so, one or two ok but the rest were ridiculously unpalatable. Our verdict: die die dont ever try.",2-May,Poor,No,,
Waku Ghin,April,Week 15,Monday,4/4/2016,"""Delicious Food, Attentive and Personalised Service""","If you are looking for a more unique, personalised fine dining experience - this would be it (at a great financial cost). The food was delicious and cannot be faulted by any account. The waitstaff and chef asked if we had any dietary requirements and would tailor the menu accordingly if we did have any. We didn't and was blessed to experience the wide variety of fresh seafood that this restaurant featured. For me, the most outstanding dish was their signature marinated Botan shrimp with Sea urchin and Oscietra caviar (don't have a separate picture unfortunately) and for my partner, the lobster (see picture below) was a standout. We both agreed that the Wagyu was the best that we've tasted (picture also below). My expectation was that there would only be one chef's table that seated 10 - 12 people, but they actually have 4 rooms, each with their (teppanyaki-style) grill. Although that did not impact the excellent service in any way, I didn't expect there to be multiple chefs serving multiple tables. Perhaps if you are considering going here, go with friends or family that fill up one room (our room would seat 6 people) so service and your experience is seamless, i.e. not impacted by your neighbouring diners. For me, this restaurant is a once in a lifetime experience as it is very expensive, and in Singapore there's also a 10% service charge and a 7% tax on top of the bill. I would consider it one of the most expensive restaurants in the world, and would cost at least approximately SGP$500 per person. If you add drinks, it can easily be more than that. Price aside, the food, service and restaurant is definitely 10/10, I highly recommend you try it if you are considering it!",5-May,Excellent,No,,
Waku Ghin,April,Week 15,Monday,4/4/2016,"""Umami & oiishi, die die must try.""","Think sashimi, think waku ghin. A big ARIGATO to waiting staff, chefs & kitchen team & owners for a meaningful & nostalgic family dinner. The thoughts of every fresh food served were still lingering in our minds after that wonderful evening. Service was excellent as the front staff were polite, pleasant & prompt. Keep up your good work! Ambience was clean, cosy & comfy. Will surely return in near future but will pull along friends to ""come, see & conquer"" everything in your menu. See you soon!",5-May,Excellent,No,,
Bread Street Kitchen,April,Week 15,Tuesday,5/4/2016,"""Don't come for the Ramsay name .""","Solid beer selection. Had the flatbread and burger. Flatbread was bland and oily. Burger was also very bland and sub par for a ""celebrity restaurant"". Would not return.",2-May,Poor,Yes,7/4/2016,2
db Bistro & Oyster Bar,April,Week 15,Tuesday,5/4/2016,"""Decent food with good range of food""","ordered the lobster roll and new england casserole. Roll was average but casserole was good, with lots of mussels and clams. Service was acceptable though could have been a tad more prompt. Enjoyed the complimentary ice cream courtesy of booking via Chope!",3-May,Average,No,,
db Bistro & Oyster Bar,April,Week 15,Tuesday,5/4/2016,"""Oysters Oysters Oysters""","The greatest Oysters I have tasted for a long time! They were Americans, slightly sweet, refine, so fresh! Flamenkuche was as usual, Ribeye was very good. Great wine selection, I tried the Anjou (from Mosse) with Oyster, fantastic! and Cht Trevallon with the red meat, which worked very well! Madeleine at the end were warm and delightful. A very nice evening in a consistent Brand, where I always enjoy going back...",5-May,Excellent,No,,
db Bistro & Oyster Bar,April,Week 15,Tuesday,5/4/2016,"""Disappointing experience""","Largely a disappointing experience. We booked DB bistro as we were going to a show at the Marina Bay Sands which is conveniently located opposite.. I tried to order the signature DB burger without the tomato, my wife stuck to the set menu which was probably the best option. The waitress hesitantly told me they wouldn?t be able to remove the tomato as this was a signature dish however they could serve it and then I could remove the tomato myself? (I almost laughed in disbelief). As she left the table I decided to ask another member of staff if this was correct as it sounded far fetched and they said they would check. The manager then returned and as he began apologising, and as I was expecting him to say the orders had been placed, he again confirmed the chefs stance that regardless of preference/requirements I wasn?t able to order that dish. I was astounded by the arrogance and had we more time before the show I would have left. I ordered the French burger which was small and disappointing. This was a poor experience and given the competition in the MBS there is no reason to return to this outlet. I should point out that we were given some complementary baked goods as an apology however this doesn?t make up for what was an overpriced meal with embarrassing standards/policies.",2-May,Poor,Yes,8/4/2016,3
Pizzeria Mozza,April,Week 15,Tuesday,5/4/2016,"""Great complimentary bread that came at the start""",Even after making reservations and being called by the restaurant to see if we were on our way we still had to wait a good 15min to be seated. It took 10 minutes just to be asked if we had a table. I like thin crust pizzas but this pizza was just to stiff to enjoy.,2-May,Poor,No,,
RISE,April,Week 15,Tuesday,5/4/2016,"""Ryan & Champagne""","My husband I recently stayed at Marina Bay Sands to kick off our Chinese wedding/honeymoon. Coming from LA the flight was 21+ hours, so we were pleased to find that Rise was open 24 hours when we arrived. Our bartenders name was Ryan and he was great! I explained to him how much I love champagne and he made me a couple of beautiful and delicious drinks!",4-May,Very Good,No,,
Sky on 57,April,Week 15,Tuesday,5/4/2016,"""Great views and delicious food.""",We had the set lunch menu and the food was absolutely amazing. The staff were very attentive and the views amazing. My first visit to Singapore and I would highly recommend Sky on 57.,5-May,Excellent,No,,
Sky on 57,April,Week 15,Tuesday,5/4/2016,"""Good Place for Date /Night Time View""","Free entry if you take Tower 1 Elevator. Food is ok excessively charged , but view is perfect. Perfect for couple. Dress code is pant for man. I forgot mine but they gave me with flexible waist, worked out well, after dinner do out to deck for best view. From restaurant you cant get full sense of the view.",5-May,Excellent,No,,
Waku Ghin,April,Week 15,Tuesday,5/4/2016,"""Elegant simplicity""","Waku Ghin is a unique dining experience, well worth adding to your culinary destinations list. Seated in groups of 6 in front of a Teppanyaki-style arrangement, our food journey for each dish began as the chef cooked most dishes right in front of us with prepared produce and ingredients. While this final stage of cooking looked easy and effortless, don't be fooled! The real effort towards each dish is done out of eye and likely before you woke up that morning! Dishes are all deceptively simple and designed to hero a particular ingredient - mostly a seafood. We were impressed with every course. All were complex, elegant and simple. The wine list was extensive and we were guided by the somms with ease. We later toured the impressive wine cellar and chatted with he somms until we were the last patrons to leave. Brilliant 5-star dining.",5-May,Excellent,No,,
Adrift,April,Week 15,Wednesday,6/4/2016,"""Nice bar scene and location""","Stopped by here a few times for drinks during a conference at the Sands Expo. Really nice selection of drinks. Great service and a nice happy hour in a modern, swanky setting. Would love to try dinner sometime.",4-May,Very Good,No,,
Adrift,April,Week 15,Wednesday,6/4/2016,"""Rubin was Awesome!""",My husband and I stopped by to have a drink since it was the the only restaurant we hadn't been to. We met Rubin who was great! He gave us suggestions for night life and even made a special shot for us once he heard we were in Singapore for our honeymoon. If you get the chance to stay at MBS I'd suggest seeking Rubin out!,3-May,Average,No,,
CUT,April,Week 15,Wednesday,6/4/2016,"""Excellent Steak and Superb Service!""","I have never tasted any steak that is cooked to perfection. Every inch of every bite brought our eyes close and thank the heavens for the opportunity to savor each bite, Now let us go back to the BEFORE -- I swore years prior that I would have the chance to eat there IF I go back to Singapore. My then boyfriend booked us a trip to SG for my birthday and that was it! The online booking was necessary. They even called me up the morning prior to my birthday dinner while I was still overseas to confirm! How impressively professional. Fast forward to our three-hours delayed flight and good thing the reservation still is available. We had it late at 9pm and it was still alright. We were expecting a snooty waiter to snubbishly breathe down the menu but lo and behold, the staff is very courteous and welcoming. I love them! No worries if it's your 1st time. they will walk you through the best sellers and recommend according to your taste and appetite. I splurged on appetizers, and even had one steak each. Lesson learned here is that the dishes CAN BE shared. And they won't judge you for it, Now what do I remember --- bone marrow - heavenly! scallops - cold but lovely! steak - to DIE FOR! Desserts --- for my birthday, they sent us samplers and they were just so.... right! And yes, it was a splurge, but all worth it, I may say!",5-May,Excellent,No,,
CUT,April,Week 15,Wednesday,6/4/2016,""""" Perfeito """"",Cut By Wolfgang Puck at Shoppes Marina Bay Sands and perfect place to taste the steak American. modern atmosphere with great service.,5-May,Excellent,No,,
Pizzeria Mozza,April,Week 15,Wednesday,6/4/2016,"""Amazing pizzas!""","I ate in this pizzeria twice without reservation, but I think that's only possible if you're solo. I sat both times at the 'pizza bar' right in front of the ovens, which is interesting to watch. The pizza quality is gorgeous and worth the price of S$30. The second time I ate there I got a special dish as a gift from the chef. Tap water is free and the staff is very nice.",5-May,Excellent,No,,
RISE,April,Week 15,Wednesday,6/4/2016,"""Mengecewakan""","It is that to him many times I had lunch at Rise. No previous experience is pleasant and some are less. Everything is not far from the service staff and cleanliness. However, the latter is most disappointing. That afternoon, January 2, 2016, I came with my son for lunch. We were seated slightly away from the crowds, it is located right across the park. The food choices are numerous, but the menu was not much different from the menu on other days. There are some staff back and forth past our table and even a male staff were friendly lift dirty plates from our table. But not as usual, no one who tells us that the lunch hour is almost complete. So I calm enjoy the food while feeding my son. When his soup that I give to my son almost gone, I rushed to the counter to pick up soup soup again. But I was surprised to find that her soup ladle is still a lot but it was removed and collected in a stroller along with the other dirty. At that time there was a young woman with a neat uniforms who were supervising other staff cleared tableware. When she saw me frantically looking for a ladle, with a sprightly young woman went to the pantry and said that he would get a new scoop. Up here I really appreciate his attitude. I'm still waiting for the woman when an old lady that I know is the staff who took care of the soup counter approached me, asking with ketusnya, ""What more do you want? It's finished already."" Did you mean lunch time is up. I replied that I wanted to take the soup for my son. With a long face the old lady approached the stroller a dirty spoon, then pick up a used spoon and handed it to me. How can a featured restaurant staff Marina Bay Sands do slovenly and careless like this? Old woman with limp hair the first time I've seen. On the other days when I ate at Rise, usually other mothers who handles counter-haired neat soup and there was never a problem. Without welcomed the spoon, I said to him that there was a another good staff who are fetching new scoop for me. Without another word the woman had left saya.dengan bring back his dirty spoon. Not long after, the friendly young woman appeared carrying a ladle clean. If you do not remember my son who was waiting alone at the dinner table, I want rasaya the mother complained to the manager. Because of the attitude of the staff were not sympathetic, my judgment on Rise menajdi very bad. In the assessment of this time, I gave an average considering there were other staff that I appreciate his help. I hope the management more closely Rise to only pick his staff more professional and ethical.",3-May,Average,No,,
Sky on 57,April,Week 15,Wednesday,6/4/2016,"""Payah""","We got breakfast at Sky on 57 while staying in Suite room Marina Bay Sands. Actually guest room suite can choose breakfast on the Rise or Sky on 57. To avoid long queues at the Rise, guests usually directed to Sky on 57. It was not easy also to get a table at Sky on 57. Had to wait tens of minutes until the last guest go. Somehow, the staff showed women who received a face and the arrogant attitude just because guests get free breakfast. Far away quality with the staff at the Club. Buffet selection and it also does a lot less attractive. No vegetables. Guests can also choose one of three menus listed in the menu. I chose a soupy noodles like sour sauce. It feels normal. One of her great-one of this restaurant is the view.",1-May,Terrible,No,,
Spago,April,Week 15,Wednesday,6/4/2016,"""Disappointing service""","My galfrd chose this restaurant to celebrate her birthday lunch. Prior when making reservation (both online and when called for confirmation) had already requested for a birthday special dessert or cake for her which most restaurants do have. Food is average. After our meal, went to remind them of my request and the servic crew looked blur. I would have expected the request to be keyed into the system or something like that. After waiting a while, while the birthday gal went to the ladies, I asked another server and he was mentioning that if we ordered their dessert platter or dont know what. In the end i just repeated and said I had already requested for birthday dessert platter. Shortly was served but without her personalised name which means my prior request was ignored. Disappointing service and was also charged $24++ for some dessert sorbet as the birthday platter. There was even a floss (string) which one of other girlfriend pulled out from the bread that was served before our food. Will not go back for sure.",3-May,Average,Yes,7/4/2016,1
Bread Street Kitchen,April,Week 15,Thursday,7/4/2016,"""Excellent""","We went here to celebrate our daughter turning 21. Wow were we glad we did. Service was sensational and food was absolutely fantastic. The entree scallops and also flatbread were delicious, our girls even commented that it was the best flatbread they have had. I had the pork belly and it was a large serve and cooked to perfection. The staff sang happy birthday to our daughter and brought out her cake which also was so yummy. Would highly recommend going here when visiting Singapore.",5-May,Excellent,Yes,8/4/2016,1
db Bistro & Oyster Bar,April,Week 15,Thursday,7/4/2016,"""A decent choice""","Overall food was decent. Some dishes actually tasted a lot better than it looked. Presentation could have been better for this price range but overall, everything tasted good and service was alright. A good place to break from an all day shopping spree but not quite to make a special trip for.",3-May,Average,No,,
Osteria Mozza,April,Week 15,Thursday,7/4/2016,"""Incredible pizza in the heart of Singapore""","After dining on Asian feasts, thoroughly enjoying them but needing a contrast preferably with cheese(!) we found Osteria. We waited quite some time for a table, our own fault as we didn't book. Eventually we were seated at the bar which was fab as we had fast access to the bar staff. We found out very quickly that they were very helpful & friendly! We ordered the obligatory olives & bread to devour whilst making the pizza decision! We decided on meatballs to start, it was a shame there wasn't arancini on the menu but the meatballs were so tasty, after a week of spice & Oriental flavourings my tastebuds were very satisfied with the sweet meat & tangy sauce. We drank Pinot Grigio (standard) & shared a simple margarita with a truck load of Parmesan! I always judge an Italian place by their generosity with the Parmesan. Just leave it on my table & Im a happy girl! Due to the bustle of the restaurant it was nice to have the table at the bar & we loved every minute. I can taste that Parmesan even now....",5-May,Excellent,No,,
Sky on 57,April,Week 15,Thursday,7/4/2016,"""All the time worthwhile to go there""","In between it's the third time to visited this nice Restaurant. You have an amazing view over Singapore and the sea. The quality of the food is excellent, the service perfect, the interiour is beautiful designed. It's a really nice place to go there. Even the breakfast is well selected and delicious. I highly recommend this Restaurant. Enjoy it.",5-May,Excellent,No,,
Sky on 57,April,Week 15,Thursday,7/4/2016,"""Surprisingly good""","When you have a view like this, you don't expect the food to match it, but it did. Eschewing the lengthy set menu we ate a la carte. Before dinner we were given an outside table for aperos with a view of the Gardens at Marina Bay and after dinner, another outside table for digestifs overlooking the Singapore River. We ate the signature fois gras, pillows of dumpling that exploded with flavour in the mouth, cod, lobster and lamb. It was all superb, if pricey, but it was worth it.",5-May,Excellent,No,,
Spago,April,Week 15,Thursday,7/4/2016,"""Wonderful Experience.""","On my recent trip to Singapore,I was staying at the Marina Bay Sands and someone suggested to try out this restaurant on the rooftop. I must admit,it was something really special. I've dined at some of the finest restaurants in my travels over the years,and this is certainly up there with the very best. I especially enjoyed my morning breakfasts there on a daily basis. The breakfast staff are nothing short of amazing. They are super professional,and their attentiveness to your needs is quiet remarkable. Special thanks must go to Agata,Paul, & Raj who are all members of the breakfast team, for being so professional,punctual and attentive. Honestly,I would not hesitate for one minute to recommend this place to any who enjoy the finer things in life.",5-May,Excellent,No,,
Adrift,April,Week 15,Friday,8/4/2016,"Great meal and awesome service """,Had a fantastic meal and the best cocktails. Service was superb also. Can't fault this restaurant. Price for 2 - approx 200 sing dollars.,4-May,Very Good,No,,
Bread Street Kitchen,April,Week 15,Friday,8/4/2016,"""Nice good food as usual! Live it up to the standard""","Been dining with my family and friends last week. The food is awesome. Must try the fish and chip, Dingley pork belly. Good ambience too. You will not be disappointed for the second. Lastly, must try their dessert. Nicely prepared. Regards, Michael",5-May,Excellent,Yes,8/4/2016,0
Bread Street Kitchen,April,Week 15,Friday,8/4/2016,"""Good, yet pricey""","Overall, the restaurant was above average. We shared a few of the entrees and mains. Tuna tartar was excellent. Scallops were delicious. Had to order the side of mac'n cheese. If you like dessert order the sticky pudding. Typical alcohol prices for Singapore. $25 drinks. $100+ for a bottle of wine. Chocolate chips were good at the end of the night. One thing I disliked was the bathrooms are not in the restaurant. You have to go into the mall area and the lines are long to wait. I waited long enough in the line to go downstairs to other bathrooms which were quite empty.",4-May,Very Good,Yes,11/4/2016,3
Bread Street Kitchen,April,Week 15,Friday,8/4/2016,"""British chef """,We dinned 3 days ago and where food vise very disappointed. Tasteless soups and foie gras . Lamb not chewable . Stuff was very friendly and professional. Since it is a British Restaurant........,1-May,Terrible,Yes,11/4/2016,3
db Bistro & Oyster Bar,April,Week 15,Friday,8/4/2016,"""Pricey but Average Burgers""","Tried their 'famous' DB Burger with Foie Gras for 42 SGD - average at best. Sides of fries and brussel sprouts very average. While the burger was properly cooked, overall taste was not anything remarkable. Expected more from a burger at this price point. Service was ok ...nothing great . Took my orders and put food on the table. Worst part (and why they get 2 instead of 3 stars) is that it was not a particularly friendly environment (manager took time to greet and check in on the two tables next to my family and I but didnt bother to check in with us...not even a glance..literally skipped us) Not recommended and wont be back. Spend your money elsewhere.",2-May,Poor,No,,
Osteria Mozza,April,Week 15,Friday,8/4/2016,"""Pricey but Good Dinner!""","Had an early dinner and went for a Thursday evening Tasting Menu - Salad: caesar variation with gorgonzola cheese and hazel nuts (crisp, well presented..a great twist on what would have been an otherwise boring salad!) - Cheese: smoked mozzarala with anchovies (top quality mozzarella with a healthy helping of anchovies...a great contrast of flavors - Primi: Gnudi pasta with Truffles (3-4 pieces that were absolutely perfect...one of the best pastas Ive ever had) - Secondi: Iberian Pork (perfectly cooked and delicious) - Desert: Panna Cotta with raspberries (average) Service was excellent - attentive, friendly and knowledgeable Worth a repeat visit next time I am in the area.",4-May,Very Good,No,,
Pizzeria Mozza,April,Week 15,Friday,8/4/2016,"""Solid pizza they way it should be""","Mozza offers a good variety of well executed pizzas. Strong flavours with a crust exhibiting superior texture to many other joints around town. Daily pasta is good, especially the pork & beef lasagne. Salads and desserts are competent as well. Clearly on the pricey side but worth the experience. Still one of the best if not the best place for pizza in the country.",4-May,Very Good,No,,
RISE,April,Week 15,Friday,8/4/2016,"""Relaxing dinner treat""","The buffet was not bad. They had a good selection of seafood, main course and dessert. The one thing that stood out was the service staff. They made it a point to ensure that you have a good dining experience.",3-May,Average,No,,
Spago,April,Week 15,Friday,8/4/2016,"""Delicious food and great service ""","I had dinner at Spago with a group of friends: we first had drinks at the lounge and then dinner inside. The food was delicious, the portions abundant, the wine very good and the service staff extremely competent and friendly. Last but not least: the view from the top of the Marina Bay Sands is always great!",4-May,Very Good,Yes,12/4/2016,4
Spago,April,Week 15,Friday,8/4/2016,"""Great lunch""","Went here for lunch with my wife, late March, and the food and service was great. We ordered the set lunch and was mostly surprised by the size of the dishes (huge) as we did expect the food to be as good as it was. We left completely stuffed which is not common when you order a set lunch. The only drawback is the price of the wines by the glass as they are quite steep for the type of wine you are served. My Wife had also mentioned that it was my birthday and upon realising that I did not eat a dessert (had changed to cheese without any problems) I was offered a complimentary espresso martini instead which I felt was a nice touch and showed the attentiveness of the great people serving us. Will definitely be back again soon",5-May,Excellent,Yes,12/4/2016,4
Bread Street Kitchen,April,Week 15,Saturday,9/4/2016,"""Great place but food was a little disappointing""","My husband and I stayed near here on a trip to Singapore. We were so looking forward to eating at GR Singapore having previously visited the New York restaurant. The restaurant itself and the service was second to none. The complimentary bread and the ambiance was also excellent. The only disappointing aspects were the main course, I ordered the steak and mushroom pie. When it arrived at the table it looked amazing, however when I broke into the pastry I was disappointed to see that there was very little of the actual pie in the dish. The dish was probably under half full with three or four pieces of meat. With the price that comes with this dish, a little more is to be expected. My husband had the burger and had to share half with me as I was still hungry after mine. The burger was good.",3-May,Average,No,,
db Bistro & Oyster Bar,April,Week 15,Saturday,9/4/2016,"""Fantastic food and service""",Visited with my husband. i had some sides as wasnt too hungry and he had the burger. food was real and tasty!,5-May,Excellent,No,,
Pizzeria Mozza,April,Week 15,Saturday,9/4/2016,"""I liked this place but a few misses!""","So I really liked the atmosphere and the buzz in Mozza. It's in the magnificent Marina Bay Sands complex and is very French bistro/Rome pizzeria in its decor. Great lighting and some great old tunes! Most of the food was pretty good too, especially the pizzas which have a super thin, crispy base and juicy toppings. The ""diavolo chicken wings"" we're a bit big and not anything like ""buffalo wings"" (in case that's what you're after). The arancini balls in a bolognese sauce was more ""tomato sauce"" and a bit bland. Peroni is $15 a bottle. And the service was a bit hit and miss. It started great and then got sparse and then neglectful. We had to chase down the bill in the end even though we'd been asked to vacate the table by a certain time. All up, it was an expensive early dinner although there were good bits and we mainly enjoyed the food. There's a ""posher"" restaurant on the flip side of the pizza bar that also left looks classy so would go back to try that next.",4-May,Very Good,No,,
Pizzeria Mozza,April,Week 15,Saturday,9/4/2016,"""Good food""",visited here with my husband. he had a pizza and i had the roasted eggplant. very nice! music was a bit too loud though.,4-May,Very Good,No,,
RISE,April,Week 15,Saturday,9/4/2016,"""Christmas Buffet ""","My family had a Christmas Buffet here and really enjoyed ourselves. The buffet was huge with plenty of options for everyone. The food was good, nothing extra special, but definitely worth the price. I can't emphasis the variety enough... they had anything you could think of. The staff was very friendly and the location is beautiful!",4-May,Very Good,No,,
Spago,April,Week 15,Saturday,9/4/2016,"""Only tried the bar""","Executive summary Pros - Fantastic location providing best view of Singapore, decent service, sufficient range of drinks, proximity to the infinity pool, well priced for an iconic bar. Cons - Can be crowded Overall a great experience. Weather was perfect the day we went, so that helped. Top tip - Get a table facing infinity pool for best view",5-May,Excellent,Yes,12/4/2016,3
Bread Street Kitchen,April,Week 15,Sunday,10/4/2016,"""1 sera a cena""","I had dinner in this restaurant during our stay at Marina Bay Sands, I must say that the value is good and I ate really well.",5-May,Excellent,No,,
CUT,April,Week 15,Sunday,10/4/2016,"""everything surpassed our beliefs""","Cut by Wolfgang Puck for a dinner with my wife - this was our FIRST experience at a CUT restaurant and we could not find one thing wrong - everything surpassed our beliefs. The decor is elegant and classy? dark with lighting accents. And walls upon walls of fine wine and the excellent seating at the bar are comfortable .the attention received from the bartender, the cocktail waitress, and waiters including the management, the service were over-the-top. And the food was Amazing especially the steak was cooked perfect. The wine list is inspiring. The facility it offers the highest level of personalised service. While Cut by Wolfgang Puck is not the cheapest place to eat in Singapore, but it is well worth the exceptional service and quality of food ,it is worth every dollar that you spent in that restaurant, absolutely one of the best restaurants in Singapore.",5-May,Excellent,No,,
CUT,April,Week 15,Sunday,10/4/2016,"""Una buona cena""","I dined at this restaurant one evening and I must say that although it was really full, there was found a place to eat, I ate meat, local specialties. It was really good and good value too.",5-May,Excellent,No,,
Bread Street Kitchen,April,Week 16,Monday,11/4/2016,"""Pricey restaurant, slightly overrated""","I had brunch here on a relatively quiet Saturday morning. I was surprised that there were hardly any patrons at around 12pm - most people started trickling in around 1pm+. FOOD: We ordered a total of 4 dishes and 2 non-alcoholic drinks to share between two people. The total bill came up to over S$100. I have to say for this price, the food was incredibly overwhelming. The open face omelette with mushrooms was bland, badly in need of seasoning and uninspiring. Basically a bare omelette sitting on plate. Great. I could have done that at home with tastier results. The scallop appetiser had prettier plating but again, very uninspired and didn't taste particular fresh or succulent. The watermelon-avocado salad was interesting but the balsamic glaze was overwhelmingly tart, and didn't feel balanced with the sweet watermelon flavours. Dessert was the peanut-caramel-chocolate bar (which reminded me of a huge Mars bar). It was actually the only saving grace of the meal with its sticky-sweet gooeyness... but it was let down when served with a side of already-melted coconut sorbet which tasted nothing like coconut and was running all over the plate. I guess it was left sitting on the counter a little too long. Oh, the complimentary bread basket and butter was nice. But that's not saying much is it? Our fruit juices were also very sweet and thick. Not sure if they were really freshly squeezed or from syrups given how thick they were but I didn't bother to ask this time. SERVICE: Unlike many other reviews I've read, I found the service fast, efficient and very friendly. We were served by about 5 different people over our meal but at least they all did what they were supposed to! No complaints. AMBIENCE: Modern New York-style feel, with lots of metals, mirrors and tiles. Would probably be a nice place to go to in the evening for a loud dinner with friends. Overall, very underwhelming food and I expected much better from a 'celebrity chef restaurant'. I would give this a miss and head up to Daniel Blood's ""DB Restaurant"" instead, which has been consistently good for years.",2-May,Poor,Yes,17/4/2016,6
CUT,April,Week 16,Monday,11/4/2016,"""Fantastic steak""","Went for a birthday dinner while visiting Singapore. Fantastic food and service, great wine list. Worth the price and then some.",5-May,Excellent,No,,
Sky on 57,April,Week 16,Monday,11/4/2016,"""Good View and food""",NIce and friendly service with good food and amazing view. We had a good time and appreciate the stuff to have a good care of us.,4-May,Very Good,No,,
Spago,April,Week 16,Monday,11/4/2016,"""Outstanding!""","Went along with friends for a special birthday dinner. They had preordered a smaller menu - always wise with 10 to choose - have to say we were really impressed, every course was delicious! Some unusual combinations - Foie Gras with Kaya Toast? Scallops with tiny edible flowers? It was a real adventure in food and amazing flavours served beautifully. Add in cool music (retro playlist that we loved!) and attentive, professional service from knowledgeable staff add in drinks beforehand with stunning views and it all made for a perfect evening - can't wait for the next special occassion to return - definitely an excellent choice for a memorable evening.",5-May,Excellent,Yes,12/4/2016,1
CUT,April,Week 16,Tuesday,12/4/2016,"""Amazing steaks and wine :)""","Great service, atmosphere and amazing meat (and lobsters) and good wine selection in this W Puck restaurant in MBS. Pricey but worth a visit. PS. Some meat dishes serve two (ladies) easily.",5-May,Excellent,No,,
Osteria Mozza,April,Week 16,Tuesday,12/4/2016,"""expensive but worth it""",eaten in the Pizza side of the restaurant 3 times now and feel its some of the best Pizza in the world and eaten in Marios restaurants in New York for years and love his food so chose to eat some past here as other friends wanted to eat in Ramseys resturant. The pasta was expensive but worth it. hard to find a bottle of wine under $100. i will return.,5-May,Excellent,No,,
